ds,yhat,yhat_lower,yhat_upper
2022-07-30,1917116.7910832919,1690558.1519156941,2150755.615501479
2022-07-31,1893139.4061700266,1663388.3396817462,2125471.9158747443
2022-08-01,1688541.5357721464,1456678.2498414817,1922482.7103114384
2022-08-02,1634252.6121833553,1393204.2638466272,1874721.759540679
2022-08-03,1675732.7222050065,1456979.2615168188,1899628.6228620945
2022-08-04,1696921.4970874842,1472625.8529019863,1926879.0839419523
2022-08-05,1714405.120672434,1469116.0484023215,1954595.0262676093
2022-08-06,1906793.7400935777,1673850.4518112815,2128488.54992437
2022-08-07,1925711.1817784223,1696307.6407889302,2173389.6878966494
2022-08-08,1754960.453100807,1523110.0811645968,1975994.921118223
2022-08-09,1710019.2000717793,1479485.6785754722,1937113.2166115446
2022-08-10,1731070.7578132667,1500755.2730548233,1967672.3947304252
2022-08-11,1711071.8670454747,1472192.0185212197,1953439.911589609
2022-08-12,1684781.5818779448,1451268.9325087045,1890319.1793209517
2022-08-13,1847686.7355755358,1613301.5684675837,2073839.3925621363
2022-08-14,1859286.8768036587,1634707.526768332,2085002.9024460374
2022-08-15,1701951.6248425855,1460779.1354373137,1911150.111050415
2022-08-16,1685696.2889480605,1463783.8588353754,1893236.2310278655
2022-08-17,1745652.2782728067,1513738.382635798,1984646.0296087118
2022-08-18,1769468.3051705484,1546454.3318860633,2017748.9364144597
2022-08-19,1782980.174291391,1567244.9302227392,2015406.3786663609
2022-08-20,1968990.0770445457,1734128.1553066461,2191420.368771068
2022-08-21,1976645.9404266856,1738437.4967700266,2188805.7009799522
2022-08-22,1788501.857486099,1565651.1602346099,2022116.6378551638
2022-08-23,1728253.6255393997,1503406.6150759156,1974112.7339535062
2022-08-24,1751665.5655276624,1524805.7081753893,1988761.2668960893
2022-08-25,1761491.5494701867,1534293.4814786501,1986223.680558272
2022-08-26,1784054.1579590922,1538002.510305607,2006297.9517663538
2022-08-27,1989145.7898739057,1755951.85514254,2210532.095066109
2022-08-28,2009458.1835821145,1792034.992056917,2235246.7328987103
2022-08-29,1818195.5615279893,1594895.2127344324,2047256.9359901468
2022-08-30,1740465.4204792907,1512148.0509589904,1987347.5757840155
2022-08-31,1739980.177262618,1498152.9639177562,1970970.4943123967
2022-09-01,1727246.6701104846,1485810.4808773738,1967101.2711171322
2022-09-02,1733194.9689904216,1508452.1399729685,1949955.949731832
2022-09-03,1930816.8371205106,1722812.980355058,2160223.766232421
2022-09-04,1956731.5856565703,1714907.0925173117,2195928.703665461
2022-09-05,1786777.4638542356,1565814.7681365623,2018472.522877092
2022-09-06,1742419.1320332019,1508677.1943747632,1975819.3290417555
2022-09-07,1775019.4555934067,1561400.1108398454,1991404.7653198862
2022-09-08,1778437.1188847732,1544932.0755380085,2036114.6158394925
2022-09-09,1772371.3324519855,1546509.2050273172,1992858.1326604558
2022-09-10,1931848.6375426247,1705384.5657893948,2164432.9015585217
2022-09-11,1908374.7001950631,1679629.9284146372,2151971.975211786
2022-09-12,1696734.4392897238,1473271.0146836399,1922325.9150133883
2022-09-13,1631311.2230783761,1382331.3907590618,1845986.115218489
2022-09-14,1666262.963036779,1440770.3957362657,1905179.2972976752
2022-09-15,1691291.505389082,1469920.580105053,1919463.1415620556
2022-09-16,1720585.2115360023,1511650.7765039545,1950793.9764654413
2022-09-17,1924293.7281581648,1701706.7901516955,2157408.878211691
2022-09-18,1947142.9134379965,1704446.9388530317,2153655.896977881
2022-09-19,1772678.2052497445,1537327.1934877082,2007107.5432891631
2022-09-20,1722555.6828150516,1481384.051801039,1963578.2976396626
2022-09-21,1744836.162924145,1524292.623708139,1967838.6515740808
2022-09-22,1736269.1946140372,1510022.8577192079,1958140.7673286386
2022-09-23,1729438.2040307682,1497566.1941722245,1961452.727116653
2022-09-24,1913744.397621461,1678983.9465523628,2133763.9641496567
2022-09-25,1942170.6778795766,1719486.0625339842,2170958.5783764976
2022-09-26,1791043.1579149007,1552777.6796329522,2035001.3764972521
2022-09-27,1765583.7209869793,1550411.3938649765,1994026.9493737845
2022-09-28,1799791.789135968,1565852.226224503,2025448.504596841
2022-09-29,1786474.5428414769,1552209.6565565944,2015799.2690596478
2022-09-30,1763657.066890274,1532681.7138195455,1998452.8948976581
2022-10-01,1929157.4966621245,1673575.1033354094,2159998.017619782
2022-10-02,1942111.137832419,1693904.6301741377,2164906.6635104707
2022-10-03,1782325.882392202,1551899.3474957226,2011467.358185663
2022-10-04,1758422.6739421878,1535994.999666199,1989711.7565255265
2022-10-05,1808156.9340061028,1579430.6779274775,2026905.7916693185
2022-10-06,1824470.1160171279,1602505.9233291035,2047942.4063953406
2022-10-07,1837336.686248445,1611703.3377538815,2062082.1966103215
2022-10-08,2029053.686072174,1797010.4074014402,2255193.7723657563
2022-10-09,2043595.1071231002,1794901.0766393405,2272134.4578656335
2022-10-10,1855674.8264045569,1617878.8856914616,2075588.506582518
2022-10-11,1783036.6748598816,1557484.7137797072,1998523.7212800942
2022-10-12,1781753.8465336603,1559580.120735396,2021621.4575474642
2022-10-13,1761798.1065939558,1538102.6254838728,2005900.4267747323
2022-10-14,1761075.6256495686,1514671.0233364808,1975604.5508193339
2022-10-15,1960514.7643505987,1723029.9426518797,2191906.601859924
2022-10-16,1998782.1166910531,1772107.6065299397,2221816.7227445217
2022-10-17,1845576.8339386163,1624719.6087897783,2056157.6334664866
2022-10-18,1813295.9495670863,1589098.788318052,2051422.3540728553
2022-10-19,1849094.7563768816,1622838.1771891897,2097677.096456309
2022-10-20,1850274.052029369,1629685.760601199,2069806.5659080783
2022-10-21,1844294.6635560512,1612816.2189384378,2067386.0239439586
2022-10-22,2012170.9866835112,1775067.8127275093,2235462.2697016
2022-10-23,2006236.4514425548,1798718.7951064073,2244110.6893548933
2022-10-24,1816703.3655785846,1593986.828208167,2036412.9349749696
2022-10-25,1770907.0727876471,1536583.5501861172,2014263.9072488847
2022-10-26,1816405.3120417292,1582412.308014336,2030677.8522797774
2022-10-27,1837452.1759735506,1611142.843289005,2050859.128360092
2022-10-28,1844943.702766662,1606682.8551144444,2074853.2770183755
